SITE_NO,STATION_NM,DA_SQ_MILE
6012500,Red Rock R bl Lima Reservoir nr Monida MT,570
6016000,Beaverhead River at Barretts MT,2737
6017000,Beaverhead River at Dillon MT,2895
6018500,Beaverhead River near Twin Bridges MT,3619
6019500,Ruby River ab Reservoir nr Alder MT,538
6020600,Ruby River bl Reservoir nr Alder MT,596
6022000,Ruby River bl Ramshorn Cr nr Alder MT,843
6023000,Ruby River near Twin Bridges MT,935
6025500,Big Hole River near Melrose MT,2476
6026500,Jefferson River near Twin Bridges MT,7632
6036650,Jefferson River near Three Forks MT,9532
6038500,Madison River bl Hebgen Lake nr Grayling MT,905
6041000,Madison River bl Ennis Lake nr Mcallister MT,2186
6042500,Madison River near Three Forks MT,2511
6043500,Gallatin River near Gallatin Gateway MT,825
6050000,Hyalite C at Hyalite R S nr Bozeman MT,48.2
6048000,East Gallatin River at Bozeman MT,148
6052500,Gallatin River at Logan MT,1795
6054500,Missouri River at Toston MT,14669
6057000,Missouri River near Townsend MT,15343
6061500,Prickly Pear Creek near Clancy MT,192
6063000,Tenmile Creek near Helena MT,96.5
6064150,Tenmile Cr ab Prickley Pear Cr nr Helena,188
6065500,Missouri River bl Hauser Lake nr Helena MT,16876
6066500,Missouri River bl Holter Dam nr Wolf Cr MT,17149
6073500,Dearborn River near Craig MT,325
6074000,Missouri River at Cascade MT,18493
6078200,Missouri River near Ulm MT,20941
6090300,Missouri River near Great Falls MT,23292
6090800,Missouri River at Fort Benton MT,24749
6075500,Smith R ab Fivemile C nr White Sul Spgs MT,73.2
6076500,Newlan C nr Damsite nr White Sulphur Springs MT,44.8
6077000,Sheep Cr nr White Sulphur Springs MT,42.8
6076690,Smith River near Ft Logan MT,846
6077500,Smith River near Eden MT,1594
6084000,Smith Cr bl Ford Cr nr Augusta MT,74
6084500,Elk Creek at Augusta MT,157
6085800,Sun River at Simms MT,1320
6089000,Sun River near Vaughn MT,1849
6082200,Sun River bl Willow Cr nr Augusta MT,827
6088500,Muddy Creek at Vaughn MT,391
6080900,Sun River bl Diversion Dam nr Augusta MT,609
6079000,South Fork Sun River near Augusta MT,252
6078500,North Fork Sun River near Augusta MT,258
6094500,Birch Cr at Swift Dam nr Dupuyer MT,75.3
6098000,Dupuyer Creek near Valier MT,137
6095000,Birch Creek near Dupuyer MT,105
6096000,Birch Cr at Nelson's Rch nr Dupuyer MT,111
6097000,Birch Creek at Robare MT,128
6092600,Four Horns Canal near Browning MT,-999999
6098100,Birch Creek near Valier MT,471
6093200,Badger Cr bl Four Horns Canal nr Browning MT,152
6091700,Two Medicine River bl South Fork nr Browning MT,250
6091000,Two Medicine Creek near East Glacier MT,51.1
6099000,Cut Bank Creek at Cut Bank MT,1041
6102050,Marias River near Loma MT,6995
6101500,Marias River near Chester MT,4927
6099500,Marias River near Shelby MT,3242
6108000,Teton River near Dutton MT,1307
6108800,Teton River at Loma MT,2010
6109500,Missouri River at Virgelle MT,34379
6110000,Judith River near Utica MT,328
6111500,Big Spring Creek near Lewistown MT,20.9
6114700,Judith River nr mouth, nr Winifred MT,-999999
6115200,Missouri River near Landusky MT,40987
6120500,Musselshell River at Harlowton MT,1125
6126500,Musselshell River near Roundup MT,4023
6130500,Musselshell River at Mosby MT,7846
