Year,Acres,System Type
1977,1535783,Gravity System
1984,1298264,Gravity System
1988,1242799,Gravity System
1994,1242657,Gravity System
1998,1171807,Gravity System
2003,1361731,Gravity System
2008,1102878,Gravity System
1977,81128,Center Pivot
1984,143227,Center Pivot
1988,176191,Center Pivot
1994,249059,Center Pivot
1998,241287,Center Pivot
2003,495051,Center Pivot
2008,583795,Center Pivot
1977,510741,All Sprinkler
1984,565096,All Sprinkler
1988,598806,All Sprinkler
1994,746655,All Sprinkler
1998,570550,All Sprinkler
2003,773008,All Sprinkler
2008,881591,All Sprinkler
