ScenarioSet,Trace,Scenario,Period
CC,1,CT,2020s
CC,2,CT,2050s
CC,3,CT,2080s
CC,4,Historical,Historical
CC,5,WD,2020s
CC,6,WD,2050s
CC,7,WD,2080s
CC,8,WW,2020s
CC,9,WW,2050s
CC,10,WW,2080s
CC,11,HD,2020s
CC,12,HD,2050s
CC,13,HD,2080s
CC,14,HW,2020s
CC,15,HW,2050s
CC,16,HW,2080s
PaleoEvent,1,FBBHL,NA
PaleoEvent,2,MMBHL,NA
PaleoEvent,3,FBBVP,NA
PaleoEvent,4,MMBVP,NA
PaleoEvent,5,FBLDP,NA
PaleoEvent,6,MMLDP,NA
PaleoEvent,7,FBLPP,NA
PaleoEvent,8,MMLPP,NA
PaleoEvent,9,FBMID,NA
PaleoEvent,10,MMMID,NA
PaleoEvent,11,FBMIP,NA
PaleoEvent,12,MMMIP,NA
PaleoEvent,13,FBMDP,NA
PaleoEvent,14,MMMDP,NA
PaleoEvent,15,FBMPP,NA
PaleoEvent,16,MMMPP,NA
